probeid	MSU6
1553912_at NA
1553914_at NA
1553915_at NA
1553917_at NA
1553918_at NA
1553919_at NA
1553920_at NA
1553923_at NA
1553924_at NA
1553927_at NA
1553928_at NA
1553929_at NA
1553930_at NA
1553931_at NA
1553934_at NA
1553935_at NA
1553936_a_at NA
1553938_a_at NA
1553940_a_at NA
1553943_at NA
1553944_at NA
1553945_at NA
1553946_at NA
1553947_at NA
1553949_at NA
1553952_at NA
1553954_at NA
1553955_at NA
1553956_at NA
1553957_at NA
1553959_a_at NA
1553960_at NA
1553961_s_at NA
1553962_s_at NA
1553963_at NA
1553965_x_at NA
1553967_at NA
1553968_a_at NA
1553970_s_at NA
1553971_a_at NA
1553972_a_at NA
1553973_a_at NA
1553974_at NA
1553976_a_at NA
1553977_a_at NA
1553978_at NA
1553979_at NA
1553982_a_at NA
1553983_at NA
1553984_s_at NA
1553986_at NA
1553987_at NA
1553989_a_at NA
1553990_at NA
1553991_s_at NA
1553992_s_at NA
1553993_s_at NA
1553994_at NA
1553995_a_at NA
1553997_a_at NA
1553998_at NA
1554001_at NA
1554003_at NA
1554004_a_at NA
1554006_a_at NA
1554007_at NA
1554008_at NA
1554010_at NA
1554012_at NA
1554014_at NA
1554015_a_at NA
1554016_a_at NA
1554017_at NA
1554018_at NA
1554019_s_at NA
1554020_at NA
1554021_a_at NA
1554022_at NA
1554023_s_at NA
1554026_a_at NA
1554027_a_at NA
1554029_a_at NA
1554030_at NA
1554032_at NA
1554033_at NA
1554034_a_at NA
1554036_at NA
1554037_a_at NA
1554038_at NA
1554039_at NA
1554041_at NA
1554042_s_at NA
1554043_a_at NA
1554044_a_at NA
1554045_at NA
1554047_at NA
1554049_s_at NA
1554050_at NA
1554052_at NA
1554053_at NA
1554057_at NA
1554059_at NA
1554060_s_at NA
1554062_at NA
1554063_at NA
1554065_at NA
1554067_at NA
1554068_s_at NA
1554069_at NA
1554071_at NA
1554072_s_at NA
1554074_s_at NA
1554076_s_at NA
1554077_a_at NA
1554078_s_at NA
1554079_at NA
1554080_at NA
1554082_a_at NA
1554084_a_at NA
1554085_at NA
1554086_at NA
1554089_s_at NA
1554091_a_at NA
1554093_a_at NA
1554094_at NA
1554095_at NA
1554096_a_at NA
1554097_a_at NA
1554098_at NA
1554099_a_at NA
1554101_a_at NA
1554102_a_at NA
1554103_at NA
1554105_at NA
1554106_at NA
1554108_at NA
1554110_at NA
1554112_a_at NA
1554113_a_at NA
1554114_s_at NA
1554115_at NA
1554116_s_at NA
1554117_at NA
1554119_at NA
1554121_at NA
1554122_a_at NA
1554125_a_at NA
1554126_at NA
1554127_s_at NA
1554128_at NA
1554129_a_at NA
1554131_at NA
1554132_a_at NA
1554133_at NA
1554140_at NA
1554141_s_at NA
1554142_at NA
1554143_a_at NA
1554145_a_at NA
1554147_s_at NA
1554148_a_at NA
1554149_at NA
1554151_at NA
1554152_a_at NA
1554153_a_at NA
1554154_at NA
1554155_at NA
1554156_a_at NA
1554157_a_at NA
1554158_at NA
1554159_a_at NA
1554160_a_at NA
1554161_at NA
1554163_at NA
1554165_at NA
1554167_a_at NA
1554168_a_at NA
1554170_a_at NA
1554171_at NA
1554172_a_at NA
1554173_at NA
1554175_at NA
1554176_a_at NA
1554177_a_at NA
1554178_a_at NA
1554179_s_at NA
1554181_at NA
1554182_at NA
1554183_s_at NA
1554185_at NA
1554187_at NA
1554188_at NA
1554190_s_at NA
1554192_s_at NA
1554193_s_at NA
1554194_at NA
1554195_a_at NA
1554196_at NA
1554198_at NA
1554199_at NA
1554201_at NA
1554202_x_at NA
1554203_at NA
1554205_s_at NA
1554206_at NA
1554208_at NA
1554210_at NA
1554212_s_at NA
1554213_at NA
1554214_at NA
1554216_at NA
1554217_a_at NA
1554219_at NA
1554220_a_at NA
1554222_at NA
1554224_at NA
1554225_a_at NA
1554228_a_at NA
1554229_at NA
1554231_a_at NA
1554232_a_at NA
1554233_at NA
1554234_at NA
1554235_at NA
1554237_at NA
1554239_s_at NA
1554240_a_at NA
1554241_at NA
1554242_a_at NA
1554245_x_at NA
1554246_at NA
1554248_at NA
1554249_a_at NA
1554250_s_at NA
1554251_at NA
1554252_a_at NA
1554253_a_at NA
1554256_a_at NA
1554258_a_at NA
1554259_at NA
1554260_a_at NA
1554261_at NA
1554262_s_at NA
1554264_at NA
1554266_at NA
1554268_at NA
1554271_a_at NA
1554272_at NA
1554273_a_at NA
1554274_a_at NA
1554276_at NA
1554277_s_at NA
1554279_a_at NA
1554280_a_at NA
1554281_at NA
1554283_at NA
1554285_at NA
1554286_at NA
1554287_at NA
1554288_at NA
1554290_at NA
1554291_at NA
1554292_a_at NA
1554293_at NA
1554294_s_at NA
1554295_x_at NA
1554296_at NA
1554298_a_at NA
1554299_at NA
1554300_a_at NA
1554301_at NA
1554302_s_at NA
1554303_at NA
1554305_at NA
1554306_at NA
1554307_at NA
1554308_s_at NA
1554309_at NA
1554310_a_at NA
1554311_a_at NA
1554312_at NA
1554314_at NA
1554316_at NA
1554317_s_at NA
1554318_at NA
1554319_at NA
1554321_a_at NA
1554322_a_at NA
1554324_s_at NA
1554325_at NA
1554327_a_at NA
1554328_at NA
1554329_x_at NA
1554331_a_at NA
1554332_a_at NA
1554333_at NA
1554334_a_at NA
1554335_at NA
1554337_at NA
1554339_a_at NA
1554340_a_at NA
1554341_a_at NA
1554342_s_at NA
1554343_a_at NA
1554344_s_at NA
1554345_a_at NA
1554346_at NA
1554348_s_at NA
1554349_at NA
1554351_a_at NA
1554352_s_at NA
1554354_at NA
1554355_a_at NA
1554356_at NA
1554360_at NA
1554362_at NA
1554364_at NA
1554365_a_at NA
1554367_at NA
1554368_at NA
1554371_at NA
1554372_at NA
1554374_at NA
1554375_a_at NA
1554376_s_at NA
1554377_a_at NA
1554378_a_at NA
1554379_a_at NA
1554380_at NA
1554382_at NA
1554383_a_at NA
1554384_at NA
1554385_a_at NA
1554386_at NA
1554388_at NA
1554390_s_at NA
1554391_at NA
1554393_a_at NA
1554394_at NA
1554396_at NA
1554397_s_at NA
1554398_at NA
1554400_at NA
1554401_a_at NA
1554403_a_at NA
1554404_a_at NA
1554405_a_at NA
1554406_a_at NA
1554408_a_at NA
1554409_at NA
1554410_a_at NA
1554411_at NA
1554413_s_at NA
1554414_a_at NA
1554415_at NA
1554417_s_at NA
1554418_s_at NA
1554419_x_at NA
1554420_at NA
1554423_a_at NA
1554424_at NA
1554428_s_at NA
1554429_a_at NA
1554430_at NA
1554432_x_at NA
1554433_a_at NA
1554436_a_at NA
1554438_at NA
1554440_at NA
1554441_a_at NA
1554442_at NA
1554443_s_at NA
1554444_s_at NA
1554445_at NA
1554447_at NA
